,datetime,icp_min_resolution,icp_match_rate,mean_translation_error,mean_rotation_error,mean_time
0,2024-09-27 17:50:54,0.001,0.1,0.5675738972382578,0.185571417554971,0.010658679999999966
1,2024-09-27 17:50:54,0.001,0.2,0.2881122133772539,0.14929675008405102,0.016505289999999916
2,2024-09-27 17:50:55,0.001,0.3,0.22908768652291162,0.10976465536737376,0.020316560000000018
3,2024-09-27 17:50:55,0.001,0.4,0.23323137345175288,0.06023802255284995,0.02978551000000005
4,2024-09-27 17:50:55,0.001,0.5,0.19414191859564695,0.04246317385975277,0.026996330000000058
5,2024-09-27 17:50:56,0.001,0.6,0.15534851732111457,0.005604069182222909,0.025016890000000024
6,2024-09-27 17:50:56,0.001,0.7,0.15710981014728959,0.006977554577592106,0.01715770000000001
7,2024-09-27 17:50:56,0.001,0.8,0.15707846460083424,0.006715176596192578,0.015026899999999977
8,2024-09-27 17:50:56,0.001,0.9,0.1572157434266261,0.007078495114759731,0.014862450000000037
9,2024-09-27 17:50:56,0.005,0.1,0.3879702810475706,0.1438620068277542,0.014807279999999956
10,2024-09-27 17:50:57,0.005,0.2,0.28772858573332144,0.21676135672079083,0.015055779999999963
11,2024-09-27 17:50:57,0.005,0.3,0.22870314012162402,0.18524982859094372,0.023351970000000045
12,2024-09-27 17:50:57,0.005,0.4,0.23854326273992435,0.059080228310813554,0.03296802999999997
13,2024-09-27 17:50:58,0.005,0.5,0.16746077136054435,0.05189691604559564,0.02921636999999997
14,2024-09-27 17:50:58,0.005,0.6,0.15507052981137992,0.0053014136257730805,0.025214210000000035
15,2024-09-27 17:50:58,0.005,0.7,0.15567476880779044,0.00662302913133196,0.019985299999999918
16,2024-09-27 17:50:58,0.005,0.8,0.15697765251190063,0.006473345883504572,0.014724580000000032
17,2024-09-27 17:50:59,0.005,0.9,0.15668764330814539,0.006410963597538681,0.013532329999999959
18,2024-09-27 17:50:59,0.01,0.1,0.37154438470517,0.18226651024482904,0.007994880000000038
19,2024-09-27 17:50:59,0.01,0.2,0.35036782565060315,0.09494360237482453,0.010956650000000146
20,2024-09-27 17:50:59,0.01,0.3,0.27521404317352405,0.0765423358864202,0.02712810000000001
21,2024-09-27 17:51:00,0.01,0.4,0.1770131152742676,0.08500133629827081,0.026830440000000167
22,2024-09-27 17:51:00,0.01,0.5,0.1764625246448422,0.02269502988384265,0.025653110000000014
23,2024-09-27 17:51:00,0.01,0.6,0.15506729864749397,0.0051771449181737626,0.022984700000000125
24,2024-09-27 17:51:01,0.01,0.7,0.15589031382277047,0.004748614343042518,0.014929659999999956
25,2024-09-27 17:51:01,0.01,0.8,0.1565624553884886,0.004642081318548101,0.015508819999999979
26,2024-09-27 17:51:01,0.01,0.9,0.15767073630498094,0.0077822338284595,0.011835469999999937
27,2024-09-27 17:51:01,0.05,0.1,0.41287073877174174,0.15505659094834803,0.005250859999999946
28,2024-09-27 17:51:01,0.05,0.2,0.36609038878903577,0.09862731479527626,0.00896992000000001
29,2024-09-27 17:51:01,0.05,0.3,0.27057689454858636,0.12184261814388238,0.009988230000000087
30,2024-09-27 17:51:05,0.05,0.4,0.19019685116807733,0.07840665535100452,0.015877610000000077
31,2024-09-27 17:51:05,0.05,0.5,0.15760517527258422,0.004557401885370706,0.01988702
32,2024-09-27 17:51:05,0.05,0.6,0.16782096029094504,0.012801782172298246,0.016206549999999886
33,2024-09-27 17:51:05,0.05,0.7,0.15735823452306202,0.006785609278855987,0.012240819999999885
34,2024-09-27 17:51:05,0.05,0.8,0.15866465398622503,0.00704245550875462,0.011506840000000018
35,2024-09-27 17:51:06,0.05,0.9,0.16085057048732182,0.009762106494131211,0.009088660000000104
36,2024-09-27 17:51:06,0.1,0.1,0.4920904433173042,0.15540620278068223,0.004014759999999918
37,2024-09-27 17:51:06,0.1,0.2,0.36930188156661314,0.13928379913254388,0.006018369999999962
38,2024-09-27 17:51:06,0.1,0.3,0.2846934331946131,0.12563328050745703,0.007170510000000086
39,2024-09-27 17:51:06,0.1,0.4,0.2730163394180616,0.09240720437141473,0.013862549999999984
40,2024-09-27 17:51:06,0.1,0.5,0.2611412778201917,0.07631691529469871,0.009933489999999878
41,2024-09-27 17:51:07,0.1,0.6,0.15852974297300249,0.008691436957370893,0.010923119999999998
42,2024-09-27 17:51:07,0.1,0.7,0.15808023711751307,0.008681501029392136,0.008629350000000003
43,2024-09-27 17:51:07,0.1,0.8,0.15590374781358862,0.008368085657396437,0.008809280000000187
44,2024-09-27 17:51:07,0.1,0.9,0.16170284681642352,0.009450012665802901,0.007073590000000252
45,2024-09-27 17:51:07,0.5,0.1,0.39565146924941946,0.14007212972058491,0.003434299999999979
46,2024-09-27 17:51:07,0.5,0.2,0.3719058103874029,0.1639332211938183,0.003663260000000079
47,2024-09-27 17:51:07,0.5,0.3,0.35241293288422054,0.1426588076024007,0.004218400000000244
48,2024-09-27 17:51:07,0.5,0.4,0.306991357345467,0.11729711823392792,0.004600250000000017
49,2024-09-27 17:51:08,0.5,0.5,0.2704884766024321,0.0784340313047923,0.005287429999999915
50,2024-09-27 17:51:08,0.5,0.6,0.25778189089051085,0.1029600962583597,0.0050297499999999214
51,2024-09-27 17:51:08,0.5,0.7,0.172853495799663,0.01369968392388968,0.007965109999999952
52,2024-09-27 17:51:08,0.5,0.8,0.16009649421706715,0.01393598301733362,0.007156750000000045
53,2024-09-27 17:51:08,0.5,0.9,0.186830109233531,0.016331828917433244,0.005573559999999844
54,2024-09-27 17:51:08,1.0,0.1,0.2822662089388742,0.16848980783268505,0.0032977699999999998
55,2024-09-27 17:51:08,1.0,0.2,0.47960516569478606,0.12685736311475496,0.0036315299999998274
56,2024-09-27 17:51:08,1.0,0.3,0.390650117597648,0.16762639439856647,0.0032948899999997393
57,2024-09-27 17:51:09,1.0,0.4,0.3983912531111921,0.16625505752025815,0.003755589999999742
58,2024-09-27 17:51:09,1.0,0.5,0.26366929630631375,0.14274673149940983,0.003874449999999996
59,2024-09-27 17:51:09,1.0,0.6,0.26574955847447196,0.132442025938495,0.003954769999999996
60,2024-09-27 17:51:09,1.0,0.7,0.19584208971299435,0.06836435658779229,0.00489044000000014
61,2024-09-27 17:51:09,1.0,0.8,0.21340400810191204,0.04298639044182544,0.005585689999999843
62,2024-09-27 17:51:09,1.0,0.9,0.26298630350760127,0.03655770566924887,0.004481129999999922
